Title,Installs,Score,Ratings,Reviews,Size,AndroidVersion,Developer,ContentRating,ContainAds,Released,Version,Updated1
MasterClass: Learn from the best,1000000,4.45,18982,3707,33M,5.1,MasterClass Inc.,Teen,FALSE,"Aug 8, 2018",2.24.3,"May 6, 2022"
HSK Study and Exam — SuperTest,1000000,4.74,23345,326,57M,4.1,Learn Language - Super Chinese,Everyone,FALSE,"Feb 13, 2018",3.6.11,"Apr 22, 2022"
Taleemabad: Learning at Home,1000000,4.27,7084,15,152M,4.4,Orenda Educational Studios,Everyone,FALSE,"May 10, 2018",165,"Apr 14, 2022"
10 Minute School - Online Learning Courses,1000000,4.08,54691,339,159M,5,10 Minute School,Everyone,FALSE,"Jan 26, 2019",3.8.4.4,"Apr 28, 2022"
Shaw Academy - Online Courses With Certification,1000000,3.72,53044,3183,38M,5,Shaw Academy - Interactive Online Courses,Everyone,FALSE,"Jun 6, 2017",3.9,"Sep 20, 2021"
HOMER Learn & Grow,1000000,4.08,4571,1383,44M,5,Homer Learning,Everyone,FALSE,"Nov 15, 2017",4.4.0,"Apr 29, 2022"
Chegg Study - Homework Help,1000000,3.81,32033,7081,39M,7,"Chegg, Inc.",Everyone,FALSE,"Aug 19, 2013",13.3.4,"May 3, 2022"
EduRev Exam Preparation App: Learning & Mock Tests,1000000,4.5,50941,24,39M,5,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,FALSE,"Dec 15, 2014",6.4.8_edurev,"May 10, 2022"
Course Hero: Homework Helper,500000,4.48,11192,2536,67M,5,Course Hero,Everyone,FALSE,"Dec 16, 2015",2.9.98,"Apr 27, 2022"
Class 9 Math Science NCERT App,500000,5,8374,7,22M,5,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,FALSE,"Feb 3, 2017",3.4.6_class9,"May 6, 2022"
Learn Computer Course- offline,500000,4.58,6937,85,6.3M,4.4,learning applications,Everyone,TRUE,"Dec 5, 2019",1.22,"Mar 29, 2022"
Wondrium - Learning & Courses,500000,3.54,3395,1107,115M,8,The Teaching Company,Teen,FALSE,"Aug 2, 2015",6.1.3,"Apr 6, 2022"
LearnVern Online Courses,500000,4.46,18618,18,47M,5,LearnVern,Everyone,FALSE,"Nov 9, 2016",1.58,"Mar 4, 2022"
Praadis Education Learning App,100000,5,4692,6,Varies with device,Varies,PRAADIS TECHNOLOGIES INC,Everyone,FALSE,"Jan 17, 2019",Varies with device,"Mar 22, 2022"
Classroom,100000,4.6,3007,4,132M,5,ClassRoom,Everyone,FALSE,"Jul 29, 2019",7.19.01,"May 28, 2021"
E-Learning Platform,100000,0,529210,0,1.9M,4,Alexander Tarigan,Everyone,FALSE,"Nov 10, 2019",2,"Nov 10, 2019"
Edukoya - Learning App (beta),100000,4.43,518,5,27M,7,Edukoya,Everyone,FALSE,"Nov 30, 2021",0.9.1,"Apr 13, 2022"
Administration course,100000,0,167960,0,8.8M,4.1,Network24,Everyone 10+,TRUE,"Apr 9, 2017",1.08,"Jan 26, 2021"
English Basic - ESL Course,100000,4.58,695,58,16M,4.1,MobileEnglish,Everyone,TRUE,"Apr 13, 2017",1.16,"Aug 29, 2019"
ReSkills,100000,0,132234,0,285M,6,ReSkills EdTech,Everyone,TRUE,"Feb 6, 2021",8.1.3,"May 10, 2022"
"Learn SEO, SMO, PPC and Digital Marketing course",100000,4.16,2477,25,20M,5,WsCube Tech,Everyone,TRUE,"Oct 26, 2016",5.63,"Feb 15, 2022"
CBSE Class 1 App: NCERT Solutions & Book Questions,100000,0,129737,0,23M,5,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,FALSE,"Aug 17, 2019",3.3.9_class1,"Mar 29, 2022"
CBSE Class 4 App: NCERT Solutions & Book Questions,100000,0,121064,0,22M,5,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,FALSE,"Aug 17, 2019",3.4.6_class4,"May 6, 2022"
CBSE Class 5 App: NCERT Solutions & Book Questions,100000,0,111982,0,23M,5,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,FALSE,"Jun 27, 2019",3.3.9_class5,"Mar 29, 2022"
Online Courses + Certificate,100000,3.82,318,11,3.5M,4,JobboJ APP - job tools,Everyone,TRUE,"Jan 13, 2018",5,"Nov 18, 2020"
Crash Course,100000,4.6,2384,198,55M,4.4,Complexly LLC,Everyone,FALSE,"Apr 30, 2020",1.6,"Oct 4, 2021"
Nutrition Course,50000,0,63833,0,3.5M,4.1,Susanapp,Everyone,TRUE,"Aug 4, 2017",72,"Mar 31, 2020"
Learn Computer Course Offline Free,50000,4.4,191,3,20M,4.1,skappstudio,Everyone,TRUE,"Mar 17, 2021",1.4,"Aug 16, 2021"
Lurningo - Education App,50000,0,48749,0,128M,5,TeamLease EdTech Ltd.,Everyone,FALSE,"May 31, 2016",8.1.09,"Mar 14, 2022"
Smaterr Learning App,50000,3.36,1640,18,29M,5,Smaterr,Everyone,FALSE,"May 13, 2019",2.3.0,"Apr 26, 2022"
Converge Study Abroad,50000,4.31,1944,9,64M,6,Converge Edutech Private Limited,Everyone,FALSE,"Oct 1, 2020",2.15,"Mar 17, 2022"
Cerego,50000,4.23,479,80,22M,5,Cerego Inc.,Everyone,FALSE,"Mar 1, 2016",7.9,"May 10, 2022"
Roducate - Great Learning App,50000,4.11,258,7,3.5M,5.1,Robert and John Limited,Everyone,FALSE,"May 13, 2014",3.0.7,"Jun 6, 2021"
ROOTs Edu,50000,4.12,2047,23,163M,5,ROOTs IT,Everyone,FALSE,"Aug 11, 2020",2.10.15,"Apr 28, 2022"
Emerging Study - Learn Online,50000,5,790,6,75M,6,Emerging Study,Everyone,TRUE,"Apr 27, 2021",2.6.11,"Jan 20, 2022"
Saylor Academy,50000,4.5,232,8,16M,4.4,Saylor Academy,Everyone,FALSE,"Dec 20, 2019",3.9.2,"Sep 4, 2020"
WiseeClass,10000,0,45103,0,238M,5,SparkIT Techno Solutions Pvt Ltd,Everyone,FALSE,"May 11, 2021",1.1.28,"Apr 8, 2022"
Ghoori Learning-Online Courses,10000,4.25,456,7,5.2M,5,Dotlines,Everyone,FALSE,"Jan 3, 2022",1.3.1,"Mar 13, 2022"
mKiddo — Kids Learning App,10000,0,43821,0,28M,5,MoMagic Bangladesh Limited,Everyone,FALSE,"Apr 20, 2020",2.6.0,"Apr 30, 2022"
Course with certificate online,10000,4.25,694,13,11M,4.4,Suman Mondal,Everyone,TRUE,"Feb 17, 2021",2.2,"Dec 22, 2021"
TeacherTube Educational Videos,10000,3.77,71,17,1.0M,2.3.3,Salem Media Group,Everyone,TRUE,"Jun 5, 2015",1,"Jun 5, 2015"
BacBon School,10000,4.6,425,3,61M,5,BacBon Ltd.,Everyone,FALSE,"Aug 5, 2019",1.5.31,"Mar 31, 2022"
Richmond Learning Platform,10000,0,42266,0,40M,6,"Grupo Santillana Educación Global, S.L.",Everyone,FALSE,"Nov 7, 2019",34.0.5,"Dec 22, 2021"
ABC Academy BD,10000,5,116,3,4.7M,6,Real Time Solution,Everyone,FALSE,"Jul 27, 2021",2.2.1,"Nov 21, 2021"
Learn Smart Classroom,10000,0,41865,0,8.8M,5.1,Knowledge Platform,Everyone,FALSE,"Jun 1, 2020",1.5.2,"Jan 11, 2021"
Teams By Lurningo,10000,2.33,1256,2,128M,5,TeamLease EdTech Ltd.,Everyone,FALSE,"Feb 20, 2020",3.1.09,"Mar 4, 2022"
"Lectera — online education, online courses",5000,0,40817,0,6.4M,5,Lectera,Everyone,FALSE,"Nov 12, 2020",2.5.0,"Mar 30, 2022"
WinjiGo StudentKit,5000,0,41596,0,47M,4.2,ITWorx Education,Everyone,FALSE,"Apr 27, 2017",2.27.0,"Mar 8, 2022"
Courstube: Courses to learn,5000,4.71,262,6,8.0M,5,Crazy Ideas,Everyone,TRUE,"Apr 10, 2021",1.0.1.4.3.9,"Apr 26, 2022"
Prottoy - Visual Learning App,5000,0,42295,0,55M,5,Prottoy Edtech,Everyone,FALSE,"Feb 21, 2021",1.1.8,"Mar 16, 2022"
Digital Coach - IBA DU,5000,4.71,234,8,45M,5,Thrive EdTech,Everyone,FALSE,"Jan 26, 2022",1.24.0,"May 10, 2022"
EdTech Worx,5000,0,42835,0,22M,4.1,EdTech Worx,Everyone,FALSE,"May 27, 2019",1.0.29,"Jun 28, 2020"
Free Online Courses,1000,0,43838,0,6.3M,5,RedTECH,Everyone,TRUE,"Feb 9, 2020",1.0.0,"Feb 9, 2020"
Dr course (student),1000,0,44913,0,58M,6,Devo tech,Everyone,TRUE,"Aug 28, 2021",1.4.40,"Apr 30, 2022"
Edutechs,500,0,32168,0,82M,5,M. Ekram,Everyone,FALSE,"Oct 21, 2020",44.9,"May 6, 2022"
Bluelogic EdTech ERP,500,0,33001,0,4.7M,5.1,Bluelogic solution,Everyone,FALSE,"Jun 6, 2020",1.3.445,"Nov 10, 2021"
EdTech,500,0,29450,0,5.7M,6,DELLHOAK,Everyone,FALSE,"May 20, 2021",1,"May 20, 2021"
EdTech Middle East,5,0,30206,0,11M,4.2,Moftah Publishing,Everyone,TRUE,"Dec 19, 2019",2.5.1,"Dec 19, 2019"
